AIRLINE,AIRLINE_NAME,ORIGIN_AIRPORT,AIRPORT_COUNT
OO,Skywest Airlines Inc.,"['ONT' 'HIB' 'ABR' 'MAF' 'BOI' 'BJI' 'RDD' 'EUG' 'FAT' 'AUS' 'MFR' 'SLC'
 'IDA' 'MKE' 'DEN' 'SBA' 'SMX' 'BFL' 'SAT' 'OMA' 'RDM' 'SMF' 'RAP' 'TUS'
 'EAU' 'DLH' 'FSD' 'INL' 'CMX' 'SPI' 'CLD' 'COD' 'PSC' 'CPR' 'ACV' 'DAL'
 'PAH' 'CID' 'DFW' 'MRY' 'ESC' 'PSP' 'OKC' 'FAR' 'MTJ' 'GCC' 'SJC' 'ORD'
 'MOT' 'SBP' 'COS' 'OAK' 'LAR' 'SAN' 'DRO' 'BIS' 'ISN' 'HLN' 'TWF' 'RNO'
 'STC' 'SFO' 'MSP' 'PLN' 'PDX' 'CIU' 'MSN' 'GTF' 'BNA' 'SNA' 'PHX' 'ATL'
 'EKO' 'HYS' 'DVL' 'ASE' 'BUR' 'SEA' 'RKS' 'LAX' 'IMT' 'ORF' 'BRD' 'BTM'
 'STL' 'IAH' 'DCA' 'PIH' 'SUN' 'LWS' 'LAS' 'VEL' 'MCI' 'YUM' 'FLG' 'FCA'
 'AVL' 'DTW' 'JMS' 'ABQ' 'CHO' 'GJT' 'TUL' 'RDU' 'PIA' 'MSO' 'MLI' 'MBS'
 'GFK' 'BIL' 'SGF' 'GRR' 'PUB' 'RHI' 'SBN' 'CDC' 'DSM' 'BZN' 'CVG' 'MMH'
 'APN' 'LGB' 'LAN' 'GEG' 'CEC' 'ICT' 'TVC' 'IND' 'FWA' 'CNY' 'DIK' 'MIA'
 'CLE' 'ELP' 'MKG' 'JAC' 'SGU' 'GRB' 'SAF' 'MEM' 'LIT' 'BHM' 'HDN' 'PIT'
 'AMA' 'LNK' 'MDW' 'DAY' 'IAD' 'BOS' 'ALB' 'MSY' 'MFE' 'OTH' 'CMH' 'CWA'
 'LEX' 'ATW' 'GUC' 'LGA' 'SYR' 'XNA' 'AZO' 'BMI' 'CLT' 'BDL' 'LSE' 'SDF'
 'PBI' 'FNT' 'RST' 'CAK' 'BUF' 'CHS' 'BWI' 'EVV' 'PHL' 'CHA' 'EWR' 'TYS'
 'ABE' 'RSW' 'JAX' 'CAE' 'PVD' 'KTN' 'SIT' 'BTR' 'WYS' 'VPS' 'LBB' 'SHV'
 'MDT' 'SAV' 'RIC' 'LFT' 'CRP' 'AGS' 'JNU' 'BRO' 'MOB' 'ILM' 'CRW' 'MGM'
 'MLU' 'HRL' 'BGM' 'GSP' 'GSO' 'ITH' 'MQT']",211
EV,Atlantic Southeast Airlines,"['MKE' 'BRO' 'VPS' 'BNA' 'SBN' 'CRP' 'PIA' 'ORD' 'ATL' 'JAX' 'CHS' 'MCI'
 'BDL' 'RIC' 'CID' 'TYR' 'LAN' 'BUF' 'GSO' 'TYS' 'MHT' 'SAV' 'MEM' 'CLT'
 'GRB' 'ABE' 'JAN' 'OAJ' 'FAR' 'ERI' 'ATW' 'LEX' 'CWA' 'ISN' 'CLE' 'CAE'
 'TUS' 'GUC' 'MLU' 'LAW' 'PIB' 'MGM' 'BTR' 'SCE' 'PNS' 'BPT' 'EWR' 'GPT'
 'SHV' 'HOB' 'LNK' 'MFE' 'LFT' 'ROC' 'PVD' 'BTV' 'FSD' 'TVC' 'IAH' 'MAF'
 'ELP' 'RAP' 'DFW' 'MEI' 'DIK' 'HPN' 'LBB' 'AVP' 'OKC' 'ELM' 'SYR' 'MOB'
 'LIT' 'TUL' 'XNA' 'SAF' 'HDN' 'ROA' 'CHA' 'EYW' 'IAD' 'CAK' 'CRW' 'BHM'
 'EVV' 'DAY' 'AMA' 'DTW' 'GNV' 'CVG' 'ABQ' 'MSP' 'ILM' 'SDF' 'LGA' 'STL'
 'BOS' 'OMA' 'IND' 'CLL' 'DEN' 'ECP' 'GRR' 'PHX' 'PIT' 'SPS' 'DCA' 'SJT'
 'AGS' 'MLI' 'FNT' 'HRL' 'DAL' 'DHN' 'GSP' 'LRD' 'AEX' 'PHF' 'MSY' 'MSN'
 'GGG' 'GJT' 'CMH' 'RDU' 'VLD' 'BQK' 'FAY' 'BMI' 'CSG' 'MYR' 'AVL' 'CHO'
 'EWN' 'GRK' 'HSV' 'MDW' 'MDT' 'TLH' 'SLC' 'GTR' 'SGF' 'TRI' 'ORF' 'LCH'
 'COS' 'ABY' 'MOT' 'FSM' 'MHK' 'DSM' 'SAT' 'ICT' 'PHL' 'AZO' 'AUS' 'MBS'
 'BWI' 'FWA' 'ALB' 'RST' 'MCO' 'PWM' 'BIL' 'BIS' 'MTJ' 'DRO' 'PBI' 'BGM'
 'SWF' 'BGR' 'ITH' 'RSW' 'ACT' 'HOU' 'GCK' 'SPI' 'TXK' 'MLB' 'JLN' 'ROW'
 'DAB']",181
DL,Delta Air Lines Inc.,"['SFO' 'LAS' 'DEN' 'LAX' 'SLC' 'SEA' 'ANC' 'PDX' 'BNA' 'PHX' 'MCI' 'BOS'
 'DFW' 'GSP' 'JFK' 'LGA' 'RNO' 'ORD' 'ATW' 'PNS' 'MCO' 'RIC' 'OKC' 'MEM'
 'TUL' 'BWI' 'BDL' 'RDU' 'PHL' 'MOB' 'SAN' 'DCA' 'SMF' 'ROC' 'PIT' 'MIA'
 'MDT' 'MSP' 'AUS' 'COS' 'DTW' 'MSY' 'EWR' 'TPA' 'MLB' 'SJC' 'RSW' 'OMA'
 'SNA' 'FLL' 'ATL' 'BHM' 'AVL' 'HSV' 'MKE' 'ORF' 'DAB' 'PBI' 'CLE' 'STL'
 'LIT' 'CMH' 'CVG' 'IND' 'CLT' 'IAH' 'GSO' 'SDF' 'CHS' 'SAT' 'JAX' 'SAV'
 'SJU' 'STT' 'ABQ' 'MDW' 'BZN' 'HNL' 'DAL' 'MSN' 'JAN' 'SGF' 'GEG' 'PVD'
 'BUF' 'HOU' 'ONT' 'TLH' 'BOI' 'TUS' 'GPT' 'ICT' 'CAK' 'JAC' 'IAD' 'SRQ'
 'GRR' 'TRI' 'SYR' 'DAY' 'FNT' 'EYW' 'ALB' 'HDN' 'EGE' 'MSO' 'MTJ' 'VPS'
 'ELP' 'OGG' 'ECP' 'TYS' 'AVP' 'KOA' 'LIH' 'FAR' 'BIS' 'FSD' 'BIL' 'GNV'
 'OAK' 'LFT' 'CAE' 'MHT' 'PWM' 'LEX' 'ROA' 'FAY' 'DLH' 'MYR' 'CHO' 'AGS'
 'PSP' 'STX' 'GRB' 'XNA' 'DSM' 'EVV' 'ABE' 'CRW' 'CHA' 'ILM' 'SHV' 'BTR'
 'PSC' 'PHF' 'MOT' 'TVC' 'FAI' 'JNU' 'BGR' 'LAN' 'FCA' 'BTV' 'RAP' 'SBN']",156
MQ,American Eagle Airlines Inc.,"['SGF' 'CHS' 'ABI' 'XNA' 'MAF' 'AMA' 'CLL' 'HOU' 'DFW' 'JLN' 'CID' 'MLI'
 'GSP' 'RDU' 'CVG' 'MHK' 'MOB' 'TLH' 'PNS' 'BHM' 'CAE' 'TXK' 'CMH' 'LRD'
 'FSM' 'AEX' 'SPS' 'ACT' 'SJT' 'JAN' 'RIC' 'DTW' 'ORF' 'FAR' 'DCA' 'MSN'
 'SAV' 'GRI' 'LEX' 'VPS' 'GPT' 'MGM' 'SPI' 'PIA' 'ROW' 'FWA' 'GSO' 'CMI'
 'COU' 'SAF' 'GRR' 'SUX' 'LFT' 'ELP' 'HSV' 'ABQ' 'GRK' 'GJT' 'HPN' 'BMI'
 'ALO' 'LCH' 'LIT' 'BIS' 'DBQ' 'GCK' 'GNV' 'MEM' 'OKC' 'GRB' 'BTR' 'TYS'
 'STL' 'BNA' 'MQT' 'JFK' 'DSM' 'TVC' 'DAY' 'ROC' 'CWA' 'SHV' 'TOL' 'EVV'
 'LAX' 'TUL' 'LAW' 'MIA' 'ORD' 'LBB' 'FNT' 'LGA' 'LSE' 'EYW' 'MKE' 'TYR'
 'MLU' 'AZO' 'SYR' 'GUC' 'MSP' 'OMA' 'FSD' 'DRO' 'ASE' 'IND' 'CHA' 'CRP'
 'CLE' 'RST' 'BUF' 'ATL' 'SDF' 'BDL' 'RAP' 'CHO' 'BWI' 'PIT' 'MDT' 'BPT'
 'GGG' 'JAX' 'BRO' 'ICT' 'SAT' 'EWR' 'MTJ' 'MSY' 'PHL' 'SLC' 'CLT' 'MCI'
 'IAH']",133
AA,American Airlines Inc.,"['LAX' 'SFO' 'LAS' 'SEA' 'DEN' 'PHX' 'MCO' 'DFW' 'BOS' 'IAH' 'SAT' 'JFK'
 'AUS' 'EWR' 'MIA' 'SLC' 'DCA' 'BWI' 'LGA' 'MCI' 'TUL' 'LIT' 'PDX' 'TPA'
 'SMF' 'MSY' 'OMA' 'OKC' 'ONT' 'MFE' 'STL' 'SJU' 'MKE' 'BNA' 'DTW' 'MSP'
 'SJC' 'SAN' 'RDU' 'IAD' 'CLT' 'PHL' 'ATL' 'PBI' 'JAX' 'PIT' 'COS' 'DSM'
 'RIC' 'BDL' 'SNA' 'FLL' 'BHM' 'MEM' 'CLE' 'FAT' 'TUS' 'DAY' 'ORF' 'IND'
 'CMH' 'ELP' 'RNO' 'ABQ' 'PSP' 'RSW' 'ICT' 'JAC' 'HNL' 'ORD' 'EGE' 'STT'
 'STX' 'HDN' 'KOA' 'HOU' 'OGG' 'GUC' 'LIH' 'SDF' 'MTJ' 'PNS' 'LBB' 'XNA'
 'ANC' 'OAK' 'PVD' 'BUF' 'BOI' 'ALB' 'PWM' 'SYR' 'GEG' 'GSO' 'CHS' 'ILM'
 'ROC' 'MDT']",98
UA,United Air Lines Inc.,"['SFO' 'LAX' 'SJU' 'BQN' 'ORD' 'PHL' 'PDX' 'SEA' 'IAD' 'SMF' 'GEG' 'DCA'
 'CLE' 'BOS' 'MCO' 'TPA' 'MSP' 'PBI' 'PHX' 'RSW' 'EWR' 'OMA' 'RNO' 'PIT'
 'DEN' 'SAT' 'LAS' 'JFK' 'FLL' 'MSY' 'SAN' 'MIA' 'BDL' 'AUS' 'HNL' 'SNA'
 'BUF' 'DFW' 'RDU' 'ALB' 'LGA' 'GUM' 'IAH' 'BOI' 'BWI' 'BZN' 'JAC' 'ATL'
 'CMH' 'SLC' 'OKC' 'IND' 'DTW' 'RIC' 'SJC' 'EGE' 'SRQ' 'BIL' 'OGG' 'LIH'
 'KOA' 'STT' 'GUC' 'HDN' 'MTJ' 'ANC' 'CLT' 'STL' 'ICT' 'DSM' 'ITO' 'GRR'
 'MDT' 'ROC' 'MCI' 'PSP' 'BTR' 'MSN' 'AGS' 'JAX' 'CHS' 'SDF' 'ABQ' 'MFE'
 'BNA' 'FAI' 'PVD' 'TUL' 'ORF' 'BTV' 'MEM' 'TUS' 'FSD' 'CVG']",94
WN,Southwest Airlines Co.,"['SFO' 'BOS' 'LAS' 'ABQ' 'PHX' 'PIT' 'PVD' 'GEG' 'SAT' 'ONT' 'CMH' 'HOU'
 'SAN' 'SMF' 'DEN' 'MDW' 'SEA' 'SJU' 'PDX' 'AUS' 'CAK' 'FLL' 'MKE' 'SJC'
 'DAL' 'LIT' 'MHT' 'ALB' 'OKC' 'BWI' 'MSY' 'MCO' 'PHL' 'BUF' 'CLE' 'DCA'
 'ISP' 'MSP' 'BDL' 'OAK' 'TPA' 'TUS' 'BNA' 'STL' 'LAX' 'LGA' 'MCI' 'ATL'
 'RIC' 'RDU' 'ELP' 'EWR' 'SLC' 'IND' 'TUL' 'CLT' 'PBI' 'BUR' 'GSP' 'DTW'
 'MEM' 'RSW' 'GRR' 'ROC' 'JAX' 'RNO' 'CHS' 'SNA' 'DSM' 'ECP' 'OMA' 'BHM'
 'SDF' 'ORF' 'AMA' 'LBB' 'HRL' 'BOI' 'DAY' 'PNS' 'IAD' 'ICT' 'PWM' 'CRP'
 'MAF' 'FNT']",86
US,US Airways Inc.,"['SFO' 'LAX' 'LAS' 'ANC' 'PHX' 'ORD' 'SEA' 'PDX' 'IND' 'DEN' 'MCI' 'SMF'
 'OAK' 'PVD' 'IAH' 'MCO' 'BOS' 'DTW' 'DFW' 'EWR' 'RNO' 'BUF' 'SJC' 'FLL'
 'PHL' 'CLT' 'JFK' 'SAN' 'ONT' 'BWI' 'SNA' 'PIT' 'MSP' 'RIC' 'TPA' 'DCA'
 'JAX' 'CLE' 'ATL' 'SLC' 'BOI' 'RDU' 'MKE' 'ORF' 'MSY' 'CMH' 'STL' 'MEM'
 'BNA' 'AUS' 'LGA' 'ALB' 'PBI' 'BDL' 'OMA' 'SYR' 'PWM' 'RSW' 'MIA' 'GEG'
 'SAT' 'ROC' 'SJU' 'HNL' 'OGG' 'ILM' 'STT' 'LIH' 'KOA' 'CHS' 'TUS' 'STX'
 'DSM' 'MDT' 'GSO' 'MYR' 'DAB' 'ABQ' 'SDF']",79
AS,Alaska Airlines Inc.,"['ANC' 'SEA' 'FAI' 'GEG' 'PDX' 'LAX' 'PHX' 'DEN' 'OAK' 'ONT' 'SAN' 'BLI'
 'SLC' 'SJC' 'LAS' 'EWR' 'MSP' 'PSP' 'SFO' 'SNA' 'BUR' 'SMF' 'JNU' 'DCA'
 'ORD' 'DFW' 'HNL' 'OTZ' 'KTN' 'SCC' 'WRG' 'BRW' 'LIH' 'SIT' 'OGG' 'PSG'
 'OME' 'KOA' 'BET' 'TUS' 'ABQ' 'MCI' 'DTW' 'BOS' 'ADK' 'BWI' 'MCO' 'PHL'
 'IAH' 'ATL' 'TPA' 'STL' 'MSY' 'FLL' 'SAT' 'AUS' 'YAK' 'CDV' 'ADQ' 'IAD'
 'DLG' 'AKN' 'GST' 'JFK' 'BNA' 'RDU' 'CHS']",67
B6,JetBlue Airways,"['SJU' 'PSE' 'BQN' 'BUF' 'PWM' 'JFK' 'BOS' 'ORD' 'MCO' 'FLL' 'SYR' 'ROC'
 'RSW' 'PBI' 'TPA' 'OAK' 'LGA' 'EWR' 'MSY' 'AUS' 'JAX' 'DCA' 'BTV' 'SFO'
 'LAX' 'DTW' 'BDL' 'PVD' 'HPN' 'IAD' 'LGB' 'PDX' 'PIT' 'RDU' 'LAS' 'RIC'
 'BWI' 'PHL' 'STT' 'SMF' 'CHS' 'CLT' 'SAV' 'HOU' 'SAN' 'ORH' 'SEA' 'SRQ'
 'DEN' 'SLC' 'SWF' 'STX' 'DFW' 'BUR' 'SJC' 'PHX' 'ABQ' 'CLE' 'ACK' 'MVY'
 'ANC' 'RNO' 'HYA' 'ALB']",64
F9,Frontier Airlines Inc.,"['PHL' 'MSN' 'MKE' 'MSP' 'MSO' 'ORD' 'CLE' 'IAH' 'SEA' 'SFO' 'TTN' 'ATL'
 'PHX' 'IND' 'MCI' 'DFW' 'MIA' 'SLC' 'OMA' 'IAD' 'BZN' 'GEG' 'TPA' 'RSW'
 'DEN' 'LAS' 'SNA' 'MCO' 'DCA' 'CVG' 'RDU' 'FLL' 'LGA' 'PDX' 'LAX' 'MDT'
 'SAN' 'MEM' 'MDW' 'MSY' 'MOT' 'AUS' 'STL' 'SBA' 'PSP' 'ILG' 'FSD' 'UST'
 'BNA' 'PHF' 'OKC' 'FAR' 'BMI' 'TYS' 'DTW' 'PBI' 'IDA' 'FAT' 'DSM' 'BIS'
 'CLT' 'GSO' 'CID']",63
NK,Spirit Air Lines,"['LAS' 'MSP' 'PHX' 'PBG' 'IAG' 'BOS' 'ORD' 'OAK' 'DFW' 'ACY' 'DTW' 'RSW'
 'LAX' 'PDX' 'IAH' 'BWI' 'LGA' 'MCI' 'ATL' 'LBE' 'FLL' 'TPA' 'SAN' 'MYR'
 'MCO' 'MSY' 'DEN' 'PBI' 'SJU' 'STT' 'PHL' 'BQN' 'CLE' 'CRW']",34
VX,Virgin America,"['SFO' 'JFK' 'LAS' 'LAX' 'AUS' 'SAN' 'FLL' 'ORD' 'SEA' 'IAD' 'DAL' 'EWR'
 'BOS' 'DCA' 'LGA' 'MCO' 'PSP' 'PDX' 'TUL' 'HNL' 'OGG']",21
HA,Hawaiian Airlines Inc.,"['LAS' 'HNL' 'OGG' 'KOA' 'ITO' 'LIH' 'SJC' 'PHX' 'OAK' 'LAX' 'SFO' 'SEA'
 'SMF' 'JFK' 'PDX' 'SAN' 'PPG']",17
