game,Date,Opponent,Home,HOU_SCORE,OPP_SCORE,WIN,pitch_url,Youtube search,game_url,,
1,"MARCH 29, 2018",TEX,0,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529411&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - MARCH 29, 2018",missing,,
2,"MARCH 30, 2018",TEX,0,1,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529424&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - MARCH 30, 2018",https://www.youtube.com/watch?v=FNK5h7cCdCE,,
3,"MARCH 31, 2018",TEX,0,9,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529435&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_445926&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - MARCH 31, 2018",https://www.youtube.com/watch?v=PUwWrPm4xtg,,
4,"APRIL 01, 2018",TEX,0,8,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529449&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448178&view=Umpire&coloring=Pitch%20Type,"HOU AT TEX - APRIL 01, 2018",missing,,
5,"APRIL 02, 2018",BAL,1,6,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529457&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"BAL AT HOU - APRIL 02, 2018",https://www.youtube.com/watch?v=lZykVx-wY0U,,
6,"APRIL 03, 2018",BAL,1,10,6,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529471&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"BAL AT HOU - APRIL 03, 2018",https://www.youtube.com/watch?v=M5mtji_TSA4,,
7,"APRIL 04, 2018",BAL,1,3,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529484&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"BAL AT HOU - APRIL 04, 2018",https://www.youtube.com/watch?v=5tXDAr9RV0A,,
8,"APRIL 06, 2018",SDN,1,1,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529515&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"SDN AT HOU - APRIL 06, 2018",missing,,
9,"APRIL 07, 2018",SDN,1,1,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529528&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"SDN AT HOU - APRIL 07, 2018",missing,,
10,"APRIL 08, 2018",SDN,1,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529543&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"SDN AT HOU - APRIL 08, 2018",https://www.youtube.com/watch?v=h2n1VtHCBvU,,
11,"APRIL 09, 2018",MIN,0,2,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529551&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_458681&view=Umpire&coloring=Pitch%20Type,"HOU AT MIN - APRIL 09, 2018",https://www.youtube.com/watch?v=tvQn5lOTaNc,,
12,"APRIL 10, 2018",MIN,0,1,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529564&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_407845&view=Umpire&coloring=Pitch%20Type,"HOU AT MIN - APRIL 10, 2018",https://www.youtube.com/watch?v=0cmGIeb3rXI,,
13,"APRIL 11, 2018",MIN,0,8,9,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529578&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_407845&view=Umpire&coloring=Pitch%20Type,"HOU AT MIN - APRIL 11, 2018",https://www.youtube.com/watch?v=v8iaKSmx0GY,,
14,"APRIL 13, 2018",TEX,1,3,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529610&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - APRIL 13, 2018",https://www.youtube.com/watch?v=sv404VWuPf4,,
15,"APRIL 14, 2018",TEX,1,5,6,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529625&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - APRIL 14, 2018",https://www.youtube.com/watch?v=92012xZDx84,,
16,"APRIL 15, 2018",TEX,1,1,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529640&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - APRIL 15, 2018",missing,,
17,"APRIL 16, 2018",SEA,0,1,2,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529646&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_504379&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - APRIL 16, 2018",https://www.youtube.com/watch?v=szjxbYAEhxw,,
18,"APRIL 17, 2018",SEA,0,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529660&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453281&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - APRIL 17, 2018",https://www.youtube.com/watch?v=TxrCJNL8NDE,,
19,"APRIL 18, 2018",SEA,0,7,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529685&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453281&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - APRIL 18, 2018",https://www.youtube.com/watch?v=wVZmrmommZU,,
20,"APRIL 19, 2018",SEA,0,9,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529685&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453281&view=Umpire&coloring=Pitch%20Type,"HOU AT SEA - APRIL 19, 2018",https://www.youtube.com/watch?v=7CBmpPXadgQ,,
21,"APRIL 20, 2018",CHA,0,10,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529695&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448306&view=Umpire&coloring=Pitch%20Type,"HOU AT CHA - APRIL 20, 2018",https://www.youtube.com/watch?v=5qJY45TrHGc,,
22,"APRIL 21, 2018",CHA,0,10,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529710&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_458690&view=Umpire&coloring=Pitch%20Type,"HOU AT CHA - APRIL 21, 2018",https://www.youtube.com/watch?v=6iMFkMPBOf4,,
23,"APRIL 22, 2018",CHA,0,7,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529725&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_500872&view=Umpire&coloring=Pitch%20Type,"HOU AT CHA - APRIL 22, 2018",https://www.youtube.com/watch?v=baAU-QqdTus,,
24,"APRIL 23, 2018",ANA,1,0,2,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529738&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"ANA AT HOU - APRIL 23, 2018",https://www.youtube.com/watch?v=YxjVAo12mdY,,
25,"APRIL 24, 2018",ANA,1,7,8,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529750&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"ANA AT HOU - APRIL 24, 2018",https://www.youtube.com/watch?v=PlZoda8VnAg,,
26,"APRIL 25, 2018",ANA,1,5,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529765&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"ANA AT HOU - APRIL 25, 2018",https://www.youtube.com/watch?v=7V3HXOrE7MU,,
27,"APRIL 27, 2018",OAK,1,1,8,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529795&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_448609&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - APRIL 27, 2018",https://www.youtube.com/watch?v=U8JS9BlO_kc,,
28,"APRIL 28, 2018",OAK,1,11,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529810&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - APRIL 28, 2018",https://www.youtube.com/watch?v=0em0ZrAoJGU,,
29,"APRIL 29, 2018",OAK,1,8,4,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529825&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"OAK AT HOU - APRIL 29, 2018",https://www.youtube.com/watch?v=qnXzvayeEe0,,
30,"APRIL 30, 2018",NYA,1,2,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529834&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"NYA AT HOU - APRIL 30, 2018",https://www.youtube.com/watch?v=zWi9qbm_0i8,,
31,"MAY 01, 2018",NYA,1,0,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529848&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"NYA AT HOU - MAY 01, 2018",https://www.youtube.com/watch?v=9FXOH55bw68,,
32,"MAY 02, 2018",NYA ,1,0,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529863&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"NYA  AT HOU - MAY 02, 2018",https://www.youtube.com/watch?v=FIzy7l1vWpM,,
33,"MAY 03, 2018",NYA,1,5,6,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529877&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"NYA AT HOU - MAY 03, 2018",https://www.youtube.com/watch?v=v7jxnkknTQ0,,
34,"MAY 04, 2018",ARI,0,8,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529886&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450665&view=Umpire&coloring=Pitch%20Type,"HOU AT ARI - MAY 04, 2018",https://www.youtube.com/watch?v=BEYBv3tf3sY,,
35,"MAY 05, 2018",ARI,0,3,4,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529901&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_425844&view=Umpire&coloring=Pitch%20Type,"HOU AT ARI - MAY 05, 2018",https://www.youtube.com/watch?v=tGtUDi3oD-I,,
36,"MAY 06, 2018",ARI,0,1,3,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529917&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_407822&view=Umpire&coloring=Pitch%20Type,"HOU AT ARI - MAY 06, 2018",https://www.youtube.com/watch?v=yfPmv-FKjC0,,
37,"MAY 07, 2018",OAK,0,16,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529927&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_474463&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - MAY 07, 2018",https://www.youtube.com/watch?v=w8Zbg1HFUJI,,
38,"MAY 08, 2018",OAK,0,4,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529938&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_433586&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - MAY 08, 2018",https://www.youtube.com/watch?v=WaWEfJyNK1A,,
39,"MAY 09, 2018",OAK,0,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=529953&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_433589&view=Umpire&coloring=Pitch%20Type,"HOU AT OAK - MAY 09, 2018",https://www.youtube.com/watch?v=r7qZyNfL098,,
40,"MAY 11, 2018",TEX,1,0,1,0,https://baseballsavant.mlb.com/gamefeed?game_pk=529985&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - MAY 11, 2018",https://www.youtube.com/watch?v=f9o0m5cE4Uc,,
41,"MAY 12, 2018",TEX,1,6,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530000&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - MAY 12, 2018",https://www.youtube.com/watch?v=EeojYZQJPnE,,
42,"MAY 13, 2018",TEX,1,6,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530015&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"TEX AT HOU - MAY 13, 2018",https://www.youtube.com/watch?v=6OuO_NJXv8w,,
43,"MAY 14, 2018",ANA,0,1,2,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530020&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_571760&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - MAY 14, 2018",https://www.youtube.com/watch?v=he7EgMX_BKA,,
44,"MAY 15, 2018",ANA,0,5,3,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530029&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_462382&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - MAY 15, 2018",https://www.youtube.com/watch?v=cC-sxsJKveI,,
45,"MAY 16, 2018",ANA,0,2,0,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530043&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_453284&view=Umpire&coloring=Pitch%20Type,"HOU AT ANA - MAY 16, 2018",https://www.youtube.com/watch?v=AQUk-5Nq5xI,,
46,"MAY 18, 2018",CLE,1,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530065&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_450203&view=Umpire&coloring=Pitch%20Type,"CLE AT HOU - MAY 18, 2018",https://www.youtube.com/watch?v=y6v3GluZLxQ,,
47,"MAY 19, 2018",CLE,1,4,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530080&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"CLE AT HOU - MAY 19, 2018",https://www.youtube.com/watch?v=Wg4tmUJ2QEk,,
48,"MAY 20, 2018",CLE,1,3,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530095&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_501789&view=Umpire&coloring=Pitch%20Type,"CLE AT HOU - MAY 20, 2018",https://www.youtube.com/watch?v=SKd625R9cRo,,
49,"MAY 22, 2018",SFN,1,11,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530129&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_444468&view=Umpire&coloring=Pitch%20Type,"SFN AT HOU - MAY 22, 2018",https://www.youtube.com/watch?v=MVRAi_NcVP8,,
50,"MAY 23, 2018",SFN,1,4,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530144&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_434378&view=Umpire&coloring=Pitch%20Type,"SFN AT HOU - MAY 23, 2018",https://www.youtube.com/watch?v=x_Gjgv5428U,,
51,"MAY 24, 2018",CLE,0,8,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530148&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_458708&view=Umpire&coloring=Pitch%20Type,"HOU AT CLE - MAY 24, 2018",https://www.youtube.com/watch?v=k5CM5ExbCC4,,
52,"MAY 25, 2018",CLE,0,11,2,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530159&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_446372&view=Umpire&coloring=Pitch%20Type,"HOU AT CLE - MAY 25, 2018",https://www.youtube.com/watch?v=vUSyHJRkzgU,,
53,"MAY 26, 2018",CLE,0,6,8,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530174&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_471911&view=Umpire&coloring=Pitch%20Type,"HOU AT CLE - MAY 26, 2018",missing,,
54,"MAY 27, 2018",CLE,0,9,10,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530189&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_458708&view=Umpire&coloring=Pitch%20Type,"HOU AT CLE - MAY 27, 2018",https://www.youtube.com/watch?v=XWNQt-64KNo,,
55,"MAY 28, 2018",NYA,0,5,1,1,https://baseballsavant.mlb.com/gamefeed?game_pk=530202&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_592454&view=Umpire&coloring=Pitch%20Type,"HOU AT NYA - MAY 28, 2018",https://www.youtube.com/watch?v=dzgG57LrSY0,,
56,"MAY 29, 2018",NYA,0,5,6,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530217&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=&view=Umpire&coloring=Pitch%20Type,"HOU AT NYA - MAY 29, 2018",https://www.youtube.com/watch?v=-n8dcmriorc,,
57,"MAY 30, 2018",NYA,0,3,5,0,https://baseballsavant.mlb.com/gamefeed?game_pk=530232&game_date=&type=pitch_velocity&chart_view=pitch&chart_type=sbp&inning=&count=&batter_hand=&pitcher_hand=&filter=&player=home-pitchers_502085&view=Umpire&coloring=Pitch%20Type,"HOU AT NYA - MAY 30, 2018",https://www.youtube.com/watch?v=A7ryRoCFkdg,,
